_1,_2
#QueroThiagoYyooNoDivinaFolia,69
#dog,69
#pizza,69
#BoogieOogie,69
#E3BrasilTeAma,69
#girl,69
#QuandoEuCasar,69
#JohnnyDepp,68
#food,68
#Scandal,68
#TudoPorVoceMcDuduzinho,68
#EMABieggestFansJustinBieber,68
#PingPongDesdeElAvion,68
#família,68
#fb,68
#DuplaIdentidade,68
#debateRecord,67
#HappyNationalBossDay,67
#FelizDiaDelProfesor,67
#espntemlinha10,67
#LaliEsposito,67
#ForaRoy,67
#JuevesDeGanarSeguidores,67
#BaileNoTt,67
#saturday,67
#cerveja,67
#Calor,66
#followme,66
#Me,66
#SumaCienMilPuntos,66
#AgoraBrasilAecio45,66
#PaulaFernandesNoAltasHoras,66
#GusttavoLimaNoProgramaDoJô,66
#AskSafaaMalik,66
#AAM,66
#LoveMeHarderLyricVideo,66
#PreguntaRubiuh,65
#BosteroSeguiViviendoPendienteDePAPA,65
#QueremosP9NoPlanetaAtlântida,65
#Capiata,65
#work,65
#EMABigesstFansJustinBieber,65
#EmTodoBrasilAécio45,65
#성민와함께HappyTogether,64
#LoDijeEnojado,64
#linda,64
#DomingoPreguicosoDoSDVcomValentino,64
#AMF2014,64
#PanicoNaBand,64
#lindo,64
#foramano,63
#semfiltro,63
#VamosFlamengo,63
#Olimpia,63
#PremioSertanejo2014,63
#MichaelOLacrador,63
#Câncer,63
#please,62
#TeQueremosCampeaBabiRossi,62
#adoro,62
#Aecio,62
#Amo,62
#DMmeCollinsKey,62
#summer,62
#TheWalkingDead,62
#Boanoite,62
#cozinhasobpressao,61
#Aécio,61
#Curitiba,61
#DebateSBT,61
#Antofagasta,61
#ForaDilmaeLeveOPTJunto,61
#JuanPorLaCresta,61
#LVBP,61
#trasladoalasunddeya,61
#MeCansaQue,61
#AécioEmTodoBrasil,61
#QuieroEntradasACreamfields,61
#gopro,61
#AquiEstoy,61
#2,60
#fun,60
#MaduroPromueveLaPaz,60
#GoodNight,60
#ThatGirlShoulBeMeVEVO,60
#amigas,60
#Afazenda,60
#rj,59
#batebolanuncamais,59
#TwPause,59
#DeOntem,59
#TeamDaniel,59
#bigpaynodanceoff,59
#Sagitário,59
#EMMABiggestFansJustinBieber,59
#LuaBlancoNoAgoraETarde,59
#GetWellSoonAshton,59
#Familia,59
#QueremosP9NoDomingoLegal,59
#moda,59
#NFL,58
#festa,58
#Touro,58
#Off,58
#betalab,58
#vaiquecola,58
#Aquário,58
#spfc,58
#staystrongchubbs,58
#CopaDoBrasilNoFOXSports,58
#Eleições2014,58
#CopaDoBrasil,58
#OnuVictoriaDeLaPatria,58
#baby,58
#aecio45,58
#VaiQueColaEp35,58
#HELOISAFAISSOL,58
#chuva,58
