_1,_2
"Dilma.\"",33
platéia,33
EU,33
país.,33
junto,33
rede,33
jogar,32
partir,32
"anos,",32
venceu,32
sido,32
Kkk,32
mostrou,32
Enquanto,32
hahahaha,32
projetos,32
fale,32
assistindo,32
Aercio,32
"governo,",32
@…,32
menor,32
acreditar,32
Roberto,32
linha,32
devolver,32
apóia,32
"#QueroDilmaTreze\"\"\"",32
Muito,32
esqueceu,32
diz:,32
"SBT,",32
batendo,32
bateu,32
copa,32
#Eleicoes2014,32
CPM,32
corrupção.,32
vá,32
cadê,32
msm,31
qdo,31
feliz,31
votos.,31
—,31
domingo,31
fala.,31
"dela,",31
TCE,31
Todos,31
Ibope,31
hashtag,31
tendo,31
#AgoraEAecioBrasil,31
ataque,31
carro,31
tiro,31
deles,31
ama,31
minhas,31
trabalha,31
Momento,31
😂😂😂😂😂,31
filho,31
Lula.,31
dados,31
#DilmaMente,31
ótima,31
reeleição,31
"candidato,",31
Porra,31
@ptbrasil,31
Sabe,31
mesmo?,31
"hj,",31
mudou,31
Pronatec,31
diferente,31
desculpa,31
aparece,31
sambou,31
pegar,31
povo.,30
saindo,30
"ganhar,",30
playboy,30
twitter,30
usados,30
amigos,30
apoiar,30
aconteceu,30
obra,30
aponta,30
resto,30
PF,30
chamando,30
entrar,30
fome,30
baixa,30
Kkkkkkk,30
atacam,30
30,30
"MG,",30
#Eleições2014,30
mentir,30
desespero,30
novo.,30
cair,30
....,30
Alemanha,30
MG.,30
8,30
"assim,",30
disso,30
tua,30
URGENTE,30
Quer,30
mal?,30
bancos,30
drogas,30
NO,30
desses,30
Aécio...,30
Estado,30
entende,29
face,29
deus,29
devia,29
"\"\"\"@folha_com:",29
algumas,29
Propaganda,29
batom,29
podemos,29
agora.,29
anúncios,29
gestão,29
vantagem,29
Imagina,29
aguenta,29
dizem,29
en,29
plateia,29
último,29
acham,29
nordeste,29
ato,29
preciso,29
ajuda,29
DA,29
piada,29
@_souaecio,29
opinião,29
leviana,29
fuder,29
social,29
Ben,29
@UOL,29
declara,29
coragem,29
"13,",29
Brasil?,29
coloca,29
terá,29
governos,29
ler,29
"país,",29
questão,29
#AgoraÉAécioBrasil,29
luta,29
virar,29
"mulher,",29
nesses,29
#debateRecord,28
respeitar,28
horas,28
"fala,",28
Hahahaha,28
melhorou,28
2014/10/16,28
fingir,28
"bloco,",28
VC,28
@RachelSherazade,28
ne,28
classe,28
ela.,28
entendi,28
escolas,28
poderia,28
margem,28
relação,28
#DebateSBT,28
Curitiba,28
"bom,",28
#Aecio,28
suspende,28
Kkkkkkkkk,28
pé,28
muitos,28
branco,28
turno.,28
posição,28
burro,28
mineiros,28
acredita,28
pediu,28
Gerais.,28
voto.,28
SUS,28
"tudo,",28
votei,28
tomando,28
virou,28
Relatórios,28
ganhe,28
#QueroDilmaTREZE,28
leve,28
filha,28
15,28
Engraçado,28
"\"RT",28
Kkkkkkkk,27
adesivos,27
brasil,27
aprendeu,27
cínico,27
forte,27
&gt;,27
ovo,27
elogiando,27
"\"Aécio",27
comer,27
Dos,27
"Petrobras,",27
argumento,27
fingiu,27
Ao,27
invés,27
corruptos,27
iria,27
Fernando,27
Todo,27
"#debatenarecord\"",27
pagar,27
"voto,",27
cavalo,27
pensando,27
Datafolha:,27
sabendo,27
Eles,27
dentro,27
#AecioEmTodoBrasil45,27
"\"\"eu",27
7,27
tapa,27
salário,27
Dilma???,27
1°,27
maioria,27
falar.,27
blá,27
candidato.,27
Parabéns,27
internet,27
louco,27
Hahaha,27
pressão.,27
alguns,27
"\"O",27
recebeu,27
papel,27
Eduardo,26
olhando,26
RS,26
19,26
chorando,26
ouvi,26
atacando,26
"é,",26
oratória,26
escolher,26
"ela,",26
"melhor,",26
bunda,26
Sério,26
"FHC,",26
"\"\"\"@DilmaRousselff:",26
kkkkkkkkkkk,26
índios,26
acusa,26
"que,",26
Polícia,26
iluminação,26
@BlogdoNoblat,26
choro,26
hoje?,26
Adoro,26
morre,26
"coisa,",26
apanhando,26
discutir,26
Deu,26
dormir,26
morrer,26
"boa,",26
Falta,26
promete,26
Dilminha,26
tenha,26
Povo,26
públicos,26
cheira,26
bala,26
#DilmaVaiPerderAecio45vencer,26
@stanleyburburin,26
porrada,26
@Estadao,26
pensar,26
penso,26
última,26
bem.,26
muitas,26
totalmente,26
Campanha,26
So,26
"né,",26
vencer,26
rumo,26
demais.,26
paga,26
não?,26
